Intent	Sentence
reso_prodotti	I miei erano marci
problema_configurazione_app	non riesco ad utilizzare l'app
familiari	Quali e quanti familiari posso inserire ?
promozioni	In crai online non trovo le stesse promo del volantino
stile_di_vita	Vorrei avere delle info specifiche sui prodotti in base al mio stile di vita?
cancellazione_account	Non riesco a capire come cancellare l'account
prezzo_prodotti	Posso sapere il prezzo di questo prodotto?
consulto_medico	come curo l'epilessia
operatore	ho un reclamo
errore_metodo_pagamento	Mi dice che il metodo di pagamento è errato
coupon_omaggio	Vorrei scaricare il buono sconto
app	da dove scarico l'app?
password_dimenticata	Aiuto ho scordato la mia password?
prodotti_non_disponibili	I prodotti non sono disponibili al momento della consegna che succede?
consegna_premi	Posso farmi recapitare con la spesa anche i premi del Catalogo ?
saldo_punti	Posso vedere quanti punti ho anche online o solo sullo scontrino?
fattura	Cosa devo fare per ricevere la fattura?
promemoria	Vorrei disattivare un promemoria
email_conferma_registrazione	Non mi è arrivata l'email di conferma
lista_preferiti	è possibile salvare i prodotti preferiti?
carta_non_intestatario	Posso registrarmi con una carta fedeltà di un'altra persona?
cancellazione_newsletter	Vorrei che mi cancellaste dalla newsletter
registrazione_senza_carta	é possibile che venga effettuata la registrazione anche se non sono in possesso della carta fedeltà?
info_negozi	Volevo sapere quali sono i negozi più vicini a me
farmacia_preferita	Come posso aggiungere una farmacia ai preferiti
familiari	Ma nella famiglia posso inserire solo figli? se volessi inserire il marito?
mancato_accredito_punti	Punti non ancora caricati
consulto_medico	Avrei bisogno di parlare con un medico
info_negozi	Punto vendita più vicino a
problema_configurazione_app	L'app non gira bene sul mio sistema operativo
errore_metodo_pagamento	Mi dice che il metodo di pagamento non è disponibile
info_per_farmacie	Sono il titolare di una farmacia potete contattarmi al più presto?
info_registrazione_azienda	Saremmo interessati a registrarci sul vostro sito
carta_fedelta_inserimento	Come inserisco la carta?
modalita_pagamento	Posso pagare alla consegna?
errore_chiusura	Non riesco a chiudere il tutto come faccio?
consegna_spesa	Volevo sapere come funziona la consegna freschi
vaccini_viaggi	Quali sono i vaccini che devo fare?
errore_password	al momento del pagamento non viene accettato o il nome utente o la password
info_negozi	Dove seleziono un punto vendita
fare_spesa	Spesa a domicilio
medico_preferito	Come si aggiunge un medico alla lista dei preferiti?
contenuti_blog	aggiunta contenuti blog
importo_pagato_diverso	La differenza di prezzo dovuta a prodotti sostituiti viene accreditata in automatico sulla carta?
info_malattie	Esiste un vaccino contro la febbre gialla?
email_conferma_registrazione	Non mi arriva la mail di registrazione, come faccio?
consegna_premi	vorrei ricevere con la spesa anche i premi come faccio?
reso_prodotti	La merce recapitata non era buona
annullare_ordine	Come posso annullare un ordine
ricerca_prodotti	In quale categoria si trova il caffè?
costo_servizio	Ci sono servizi a pagamento?
cancellazione_newsletter	Vi chiedo gentilmente di essere cancellato dalla newsletter
fattura_elettronica	Come richiedo la e-fatture
complimenti	Bellissima applicazione
contatti	Devo spedire una mail all'ufficio acquisti
esito_ordine	Non riesco a capire se la spesa on line che ho fatto è andata a buon fine
fattura_elettronica	Posso richiedere la fatturazione elettronica?
carta_fedelta_inserimento	Posso aggiungere la mia carta fedeltà nell'area personale?
promozioni	Volantino e promo online?
senza_glutine	prodotti senza glutine
errore_password	Ho problemi di accesso con la mia password
scaricare_app	Vorrei scaricare l'app uwell come faccio?
errore_generico_app	Ho problemi con l'applicazione
no_corrispondenza_prodotti	Il prodotto era disponibile online ma non l'ho trovato in negozio
quando_punti	quando mi vengono caricati i punti sulla carta più?
citta_consegna	Lomazzo e' coperto per la spesa on line?
farmacia_preferita	Non riesco ad inserire la farmacia come farmacia preferita anche se me la da come farmacia preferita
ricerca_prodotti	Come mai ci sono solo le bottiglie di latte e non le confezioni?
fasce_orarie_consegna_a_casa	Non riesco a scegliere orario di ritiro
info_negozi	il mio negozio
modifica_ordine	dovrei modificare le quantità perché si sono raddoppiate
errore_aggiunta_carrello	Non ho più niente nel carrello
info_malattie	Cos’è la febbre gialla?
hr	Cosa devo fare per lavorare con voi?
farmacia_preferita	Non riesco a visualizzare la mia farmacia da cellulare
promemoria	Vorrei attivare un promemoria per un farmaco
problema_configurazione_app	Mi compare la scritta Select Huawei
fasce_orarie_consegna_a_casa	Tempo consegna
rimozione_dati	Rimozione dati
collaborazioni	Mi dici come posso inviare il mio cv?
modifica_ordine	Ho fatto un ordine ma il nominativo per la spedizione è sbagliato
fasce_orarie_consegna_a_casa	quanti giorni prima posso fare ordine
unita_peso	Perchè posso acquistare unità di verdure con peso predefinito?
errore_schermata_indisponibile	La schermata non mi funziona bene
prodotto_sbagliato	Il prodotto non è quello che volevo
modifica_ordine	Cambiare da ritiro in negozio a consegna a casa
errore_password	Mi sono registrata ma mi dice che la password è sbagliata
registrazione_senza_email	Vorrei sapere se posso registrarmi senza email
limite_minimo	Qual è il mio limite minimo di spesa?
nome_utente	Nome utente dimenticato
ricerca_prodotti	Dove trovo la mortadella da affettare
consulto_medico	Posso contattare un medico per questo farmaco?
visita_supermercato	Visita al supermercato registrazione?
lista_preferiti	Vorrei salvare la mia lista di prodotti preferiti
reso_prodotti	Ho effettuato un ordine ma ci sono prodotti in più
utente_bloccato	Mi ha bloccato dicendo che la mia data di nascita non è corretta
consegna_a_domicilio	il servizio di consegna a domicilio è disponibile su quale città?
utente_bloccato	Mio figlio è diventato maggiorenne e lo ha bloccato
info_malattie	Chi dovrebbe vaccinarsi contro la febbre gialla?
logout_carrello	Posso recuperare la spesa fatta stamane?
unita_peso	Limiti di peso?
quando_punti	quando mi verranno accreditati i punti della spesa?
fasce_orarie_consegna_a_casa	Tempi di consegna
acquisto_senza_carta_piu	Se non ho la carta fedeltà posso comunque acquistare?
scontrino_fiscale	scontrino
problema_configurazione_app	Quali versione dell'app sono supportate?
errore_aggiunta_familiare	Vorrei aggiungere mia madre e mio marito alla lista dei familiari ma non riesco
contatti	contatti
modalita_pagamento	Perché non riesco a selezionare pagamento contanti?
problema_sito	Non si attiva il menu a tendina per la scelta del punto vendita
consulto_medico	non mi sento bene ho la febbre gialla
fattura	Voglio richiedere la fattura posso?
cambiare_email	posso cambiare l'email
modifica_ordine	ho inserito un prodotto per errore nel carrello, come si cancella?
no_corrispondenza_prodotti	Non c'è alcuna corrispondenza tra i prodotti online e il prezzo del prodotto in negozio
codice_fiscale	Voglio aggiungere la tessera Sanitaria
consulto_medico	Info consulto medico
citta_consegna	Portate la spesa in via
errore_conclusione_ordine	Perchè non riesco a concludere l'ordine?
modalita_pagamento	carta di credito
citta_consegna	Volevo sapere se consegnate a
email_conferma_registrazione	Come mai non mi è arrivata l'email di conferma della registrazione?
coupon_omaggio	Mi sai dire come posso caricare i buoni?
citta_consegna	volevo sapere se le consegne erano disponibili a Guidonia
prodotto_sbagliato	Il prodotto non è quello che ho ordinato
email_conferma_registrazione	Non è arrivata la mail di iscrizione
ecommerce	ecommerce
codice_sconto	Vorrei sapere dove inserire il codice sconto
ricerca_prodotti	Gelati ben&Jerry li trovo nei vostri supermercati?
